TIPO;ID;VENCIMENTO;EMPRESA;PESSOA;DOCUMENTO;VALOR
RECEBER;101-1;2019-09-20;1;6;222;15081.07
RECEBER;102-1;2019-09-20;1;17;224;138678.24
RECEBER;103-1;2019-09-24;1;14;225;30603.5
RECEBER;104-1;2019-10-03;1;22;228;128014.21
RECEBER;105-1;2019-10-21;1;28;231;50956.46
RECEBER;192-1;2019-10-21;1;28;232;154284.03
RECEBER;230-1;2019-10-21;1;57;233;79849.58
RECEBER;107-1;2019-10-22;1;35;234;28832.39
RECEBER;109-1;2019-10-22;1;17;236;57479.89
RECEBER;110-1;2019-10-22;1;17;237;106724.83
RECEBER;111-1;2019-10-23;1;6;238;39790.89
RECEBER;112-1;2019-10-24;1;1;239;20764.19
RECEBER;113-1;2019-10-24;1;10;240;20781.99
RECEBER;114-1;2019-11-06;1;22;243;116456.82
RECEBER;115-1;2019-11-22;1;9;246;23010.11
RECEBER;116-1;2019-11-22;1;14;247;11799.13
RECEBER;117-1;2019-11-22;1;12;249;537.01
RECEBER;118-1;2019-11-26;1;11;250;53850.45
RECEBER;206-1;2019-11-28;1;28;252;330903.86
RECEBER;193-1;2019-12-10;1;28;253;510575.87
RECEBER;120-1;2019-12-11;1;28;254;113927.48
RECEBER;227-1;2019-12-11;1;17;256;27890.48
RECEBER;121-1;2019-12-12;1;45;257;36626.05
RECEBER;122-1;2019-12-18;1;16;258;5250.2
RECEBER;123-1;2019-12-19;1;17;260;120715.61
RECEBER;207-1;2019-12-19;1;28;262;158381.21
RECEBER;228-1;2019-12-20;1;13;264;157164.06
RECEBER;129-1;2019-12-23;1;17;265;88428.06
RECEBER;130-1;2019-12-23;1;28;267;101019.82
RECEBER;131-1;2019-12-23;1;28;268;76217.88
RECEBER;132-1;2019-12-30;1;35;269;51022.18
RECEBER;133-1;2019-12-30;1;35;270;13497.79
RECEBER;134-1;2019-12-31;1;16;271;6147.41
RECEBER;56-1;2020-01-13;1;45;273;15450.48
RECEBER;57-1;2020-01-16;1;38;274;6186.51
RECEBER;58-1;2020-01-17;1;11;275;22838.01
RECEBER;59-1;2020-01-17;1;1;277;6108.3
RECEBER;60-1;2020-01-22;1;7;278;10263.52
RECEBER;61-1;2020-01-22;1;24;279;73905.52
RECEBER;62-1;2020-01-24;1;11;280;6186.51
RECEBER;64-1;2020-01-27;1;45;282;36765.1
RECEBER;65-1;2020-01-28;1;11;283;44505.8
RECEBER;66-1;2020-02-05;1;22;284;103431.24
RECEBER;80-1;2020-02-12;1;28;285;159216.39
RECEBER;67-1;2020-02-13;1;1;287;46526.92
RECEBER;82-1;2020-02-13;1;49;288;38344.78
RECEBER;68-1;2020-02-17;1;13;289;12832.51
RECEBER;69-1;2020-02-17;1;10;394;21988.18
RECEBER;70-1;2020-02-17;1;9;291;32814.45
RECEBER;71-1;2020-02-17;1;12;292;13250.0
RECEBER;72-1;2020-02-19;1;17;293;125625.73
RECEBER;194-1;2020-02-21;1;28;298;489641.64
RECEBER;73-1;2020-02-21;1;46;294;13248.22
RECEBER;74-1;2020-02-21;1;44;296;8978.94
RECEBER;83-1;2020-02-21;1;34;295;10153.0
RECEBER;76-1;2020-02-26;1;45;299;2754.69
RECEBER;77-1;2020-02-26;1;42;300;26634.72
RECEBER;55-1;2020-03-02;1;11;301;10453.95
RECEBER;85-1;2020-03-03;1;34;302;18603.91
RECEBER;53-1;2020-03-07;1;9;304;28154.74
RECEBER;51-1;2020-03-13;1;11;306;20000.02
RECEBER;47-1;2020-03-17;1;11;310;119741.8
RECEBER;50-1;2020-03-17;1;35;307;6069.68
RECEBER;46-1;2020-03-18;1;22;311;50593.18
RECEBER;44-1;2020-03-23;1;1;313;58451.2
RECEBER;45-1;2020-03-23;1;10;312;15895.99
RECEBER;195-1;2020-03-26;1;28;317;180409.63
RECEBER;40-1;2020-03-26;1;36;320;6186.51
RECEBER;41-1;2020-03-26;1;11;319;54899.61
RECEBER;43-1;2020-03-26;1;28;314;30763.13
RECEBER;86-1;2020-03-26;1;34;315;18835.97
RECEBER;87-1;2020-03-26;1;34;316;26888.41
RECEBER;88-1;2020-03-26;1;34;318;48525.33
RECEBER;38-1;2020-03-31;1;44;322;6186.51
RECEBER;39-1;2020-03-31;1;37;321;6186.51
RECEBER;136-1;2020-04-01;1;13;323;6108.3
RECEBER;137-1;2020-04-02;1;49;324;6186.51
RECEBER;138-1;2020-04-03;1;10;325;114802.75
RECEBER;139-1;2020-04-03;1;10;326;120000.0
RECEBER;140-1;2020-04-03;1;10;327;70000.0
RECEBER;141-1;2020-04-06;1;28;328;484081.15
RECEBER;142-1;2020-04-06;1;9;329;6186.51
RECEBER;143-1;2020-04-07;1;34;330;6069.69
RECEBER;144-1;2020-04-16;1;7;331;6186.51
RECEBER;145-1;2020-04-20;1;9;332;10720.95
RECEBER;148-1;2020-04-20;1;34;334;8137.7
RECEBER;135-1;2020-04-22;1;36;336;18545.33
RECEBER;149-1;2020-04-22;1;13;337;41325.11
RECEBER;150-1;2020-04-23;1;34;338;27746.57
RECEBER;151-1;2020-04-23;1;34;339;11364.3
RECEBER;152-1;2020-04-27;1;28;341;100115.55
RECEBER;153-1;2020-04-30;1;42;342;98047.52
RECEBER;162-1;2020-05-04;1;55;392;194807.38
RECEBER;154-1;2020-05-05;1;45;343;7829.37
RECEBER;155-1;2020-05-05;1;17;344;6108.3
RECEBER;157-1;2020-05-05;1;64;345;6186.51
RECEBER;156-1;2020-05-06;1;45;346;8139.15
RECEBER;158-1;2020-05-06;1;28;347;158041.04
RECEBER;159-1;2020-05-06;1;38;348;11101.23
RECEBER;160-1;2020-05-06;1;38;349;1532.13
RECEBER;165-1;2020-05-12;1;57;356;51439.78
RECEBER;166-1;2020-05-12;1;22;359;165715.9
RECEBER;167-1;2020-05-14;1;46;362;11911.51
RECEBER;168-1;2020-05-14;1;46;363;10544.56
RECEBER;169-1;2020-05-14;1;46;364;24363.2
RECEBER;170-1;2020-05-14;1;46;365;12579.24
RECEBER;171-1;2020-05-14;1;46;366;12598.4
RECEBER;172-1;2020-05-14;1;46;367;7601.88
RECEBER;173-1;2020-05-14;1;46;368;41092.22
RECEBER;174-1;2020-05-14;1;44;369;43099.59
RECEBER;175-1;2020-05-19;1;46;374;62829.2
RECEBER;176-1;2020-05-19;1;46;375;43124.5
RECEBER;177-1;2020-05-20;1;42;376;98760.22
RECEBER;178-1;2020-05-20;1;49;377;2140.89
RECEBER;180-1;2020-05-20;1;17;379;76040.24
RECEBER;181-1;2020-05-20;1;12;380;6147.41
RECEBER;182-1;2020-05-20;1;6;381;13697.32
RECEBER;183-1;2020-05-20;1;14;382;6108.3
RECEBER;184-1;2020-05-20;1;14;383;14122.64
RECEBER;185-1;2020-05-20;1;48;384;6069.69
RECEBER;186-1;2020-05-20;1;12;385;39079.42
RECEBER;187-1;2020-05-22;1;34;386;20379.14
RECEBER;188-1;2020-05-25;1;1;387;24247.33
RECEBER;189-1;2020-05-25;1;41;388;6186.51
RECEBER;190-1;2020-05-25;1;42;389;38120.1
RECEBER;191-1;2020-05-27;1;34;390;94638.86
RECEBER;196-1;2020-06-04;1;28;391;81842.86
RECEBER;200-1;2020-06-23;1;12;395;44455.92
RECEBER;201-1;2020-06-23;1;34;396;100335.32
RECEBER;202-1;2020-06-24;1;42;397;121440.35
RECEBER;203-1;2020-06-24;1;16;399;19325.25
RECEBER;247-1;2020-07-01;1;42;400;57518.86
RECEBER;205-1;2020-07-04;1;28;401;221266.4
RECEBER;179-1;2020-07-08;1;13;404;32419.0
RECEBER;208-1;2020-07-08;1;13;403;10827.18
RECEBER;209-1;2020-07-08;1;55;406;207093.0
RECEBER;210-1;2020-07-11;1;28;407;59709.25
RECEBER;211-1;2020-07-15;1;50;409;230490.98
RECEBER;213-1;2020-07-22;1;38;410;4218.71
RECEBER;215-1;2020-07-22;1;11;426;44101.61
RECEBER;214-1;2020-07-23;1;38;411;14291.29
RECEBER;216-1;2020-07-23;1;45;414;39658.89
RECEBER;217-1;2020-07-24;1;12;415;49611.83
RECEBER;218-1;2020-07-25;1;44;416;18463.61
RECEBER;219-1;2020-07-25;1;16;417;8500.56
RECEBER;220-1;2020-07-25;1;42;418;40539.29
RECEBER;221-1;2020-07-25;1;42;419;6069.69
RECEBER;222-1;2020-07-29;1;17;420;6108.3
RECEBER;223-1;2020-07-29;1;35;422;28363.27
RECEBER;224-1;2020-07-29;1;67;421;6069.69
RECEBER;225-1;2020-07-29;1;35;423;578.76
RECEBER;226-1;2020-07-29;1;12;424;4451.32
RECEBER;236-1;2020-08-06;1;28;427;297543.53
RECEBER;237-1;2020-08-07;1;55;429;414054.24
RECEBER;238-1;2020-08-11;1;28;430;51880.23
RECEBER;239-1;2020-08-11;1;28;431;64971.18
RECEBER;242-1;2020-08-26;1;34;433;71151.77
RECEBER;243-1;2020-08-27;1;1;434;36808.16
RECEBER;244-1;2020-08-27;1;42;435;16020.79
RECEBER;245-1;2020-08-27;1;46;436;9193.62
RECEBER;246-1;2020-08-27;1;44;437;1357.91
RECEBER;248-1;2020-09-03;1;28;438;469756.93
RECEBER;250-1;2020-09-08;1;44;440;24274.78
RECEBER;255-1;2020-09-14;1;55;443;510434.65
RECEBER;256-1;2020-09-14;1;1;444;21268.11
RECEBER;257-1;2020-09-15;1;50;445;122387.66
RECEBER;251-1;2020-09-16;1;69;1;317.0
RECEBER;252-1;2020-09-16;1;69;1;1000.0
RECEBER;253-1;2020-09-16;1;69;1;30761.85
RECEBER;258-1;2020-09-16;1;47;446;99696.26
RECEBER;468-1;2020-09-17;1;79;01;499000.0
RECEBER;254-1;2020-09-18;1;1;447;27506.87
RECEBER;259-1;2020-09-23;1;42;448;63746.6
RECEBER;260-1;2020-09-23;1;44;449;19205.8
RECEBER;261-1;2020-09-28;1;34;450;99461.69
RECEBER;262-1;2020-10-06;1;55;451;176296.9
RECEBER;263-1;2020-10-06;1;55;452;396090.41
RECEBER;266-1;2020-10-08;1;21;464;10320.56
RECEBER;267-1;2020-10-08;1;41;456;13337.79
RECEBER;269-1;2020-10-08;1;46;458;26454.4
RECEBER;270-1;2020-10-08;1;11;459;6776.41
RECEBER;271-1;2020-10-08;1;12;461;21493.65
RECEBER;272-1;2020-10-13;1;51;463;9896.95
RECEBER;264-1;2020-10-15;1;21;465;6147.41
RECEBER;273-1;2020-10-15;1;45;466;6147.41
RECEBER;274-1;2020-10-19;1;42;468;42143.53
RECEBER;275-1;2020-10-19;1;42;469;32643.34
RECEBER;276-1;2020-10-19;1;40;472;6108.3
RECEBER;277-1;2020-10-22;1;1;471;14124.83
RECEBER;278-1;2020-10-22;1;12;473;84215.44
RECEBER;279-1;2020-10-22;1;44;475;15949.41
RECEBER;280-1;2020-10-22;1;70;476;226499.85
RECEBER;281-1;2020-10-26;1;6;477;6903.44
RECEBER;282-1;2020-11-03;1;55;478;147499.49
RECEBER;283-1;2020-11-03;1;55;479;331390.58
RECEBER;284-1;2020-11-03;1;28;480;221570.44
RECEBER;285-1;2020-11-04;1;50;481;70442.03
RECEBER;268-1;2020-11-07;1;42;457;10809.0
RECEBER;286-1;2020-11-09;1;28;482;104627.27
RECEBER;287-1;2020-11-13;1;65;484;85454.61
RECEBER;249-1;2020-11-20;1;55;486;86576.37
RECEBER;288-1;2020-11-26;1;34;487;52668.07
RECEBER;289-1;2020-11-26;1;34;488;13651.5
RECEBER;290-1;2020-11-26;1;42;489;20253.69
RECEBER;291-1;2020-11-26;1;42;491;18163.26
RECEBER;292-1;2020-11-27;1;1;492;50275.2
RECEBER;293-1;2020-11-27;1;44;493;63346.77
RECEBER;294-1;2020-11-27;1;34;494;55167.95
RECEBER;295-1;2020-12-07;1;44;496;13503.14
RECEBER;296-1;2020-12-14;1;34;497;2924.0
RECEBER;297-1;2020-12-16;1;70;500;106408.26
RECEBER;298-1;2020-12-16;1;42;499;27816.73
RECEBER;161-1;2020-12-18;1;24;504;98407.1
RECEBER;301-1;2020-12-18;1;55;505;150719.96
RECEBER;302-1;2020-12-18;1;55;506;338630.55
RECEBER;303-1;2020-12-18;1;42;507;24068.25
RECEBER;304-1;2020-12-18;1;1;511;18078.28
RECEBER;305-1;2020-12-19;1;44;509;27559.75
RECEBER;307-1;2020-12-21;1;42;512;82230.08
RECEBER;299-1;2020-12-23;1;28;515;84723.93
RECEBER;308-1;2020-12-23;1;46;514;60179.26
RECEBER;309-1;2020-12-23;1;17;516;18803.87
RECEBER;310-1;2020-12-23;1;50;517;435928.95
RECEBER;311-1;2020-12-29;1;46;518;33178.07
RECEBER;312-1;2021-01-06;1;44;519;1807.59
RECEBER;313-1;2021-01-26;1;35;520;2604.42
RECEBER;314-1;2021-01-26;1;55;521;500766.9
RECEBER;315-1;2021-01-26;1;55;522;400410.54
RECEBER;316-1;2021-02-17;1;17;523;26780.53
RECEBER;317-1;2021-02-23;1;29;524;65613.28
RECEBER;318-1;2021-02-24;1;17;525;44128.65
RECEBER;319-1;2021-02-24;1;17;526;71060.49
RECEBER;320-1;2021-02-24;1;17;527;17113.78
RECEBER;321-1;2021-03-01;1;70;528;94534.02
RECEBER;322-1;2021-03-01;1;70;529;65161.4
RECEBER;323-1;2021-03-08;1;50;530;30000.0
RECEBER;324-1;2021-03-18;1;55;531;269405.31
RECEBER;325-1;2021-03-18;1;55;532;163730.06
RECEBER;326-1;2021-03-22;1;70;533;37794.06
RECEBER;327-1;2021-03-22;1;70;534;174925.67
RECEBER;340-1;2021-03-29;1;67;535;25291.76
RECEBER;353-1;2021-04-06;1;50;536;30000.0
RECEBER;354-1;2021-04-14;1;12;537;43561.1
RECEBER;330-1;2021-04-16;1;34;540;6069.69
RECEBER;355-1;2021-04-16;1;70;538;81726.32
RECEBER;357-1;2021-04-16;1;48;541;8312.07
RECEBER;358-1;2021-04-20;1;70;544;150605.3
RECEBER;359-1;2021-04-22;1;70;545;34103.12
RECEBER;360-1;2021-04-22;1;36;546;8505.12
RECEBER;347-1;2021-05-04;1;24;623;58014.51
RECEBER;361-1;2021-05-04;1;50;547;30000.0
RECEBER;362-1;2021-05-05;1;70;548;67288.19
RECEBER;370-1;2021-05-14;1;55;549;241343.55
RECEBER;371-1;2021-05-14;1;55;550;146675.64
RECEBER;372-1;2021-05-20;1;73;551;80545.31
RECEBER;373-1;2021-05-21;1;70;552;170880.54
RECEBER;374-1;2021-05-24;1;50;553;30000.0
RECEBER;375-1;2021-05-28;1;74;197;173576.24
RECEBER;384-1;2021-05-28;1;74;196;51699.88
RECEBER;376-1;2021-06-09;1;74;205;360393.73
RECEBER;377-1;2021-06-09;1;74;206;184538.25
RECEBER;378-1;2021-06-14;1;73;554;31101.75
RECEBER;379-1;2021-06-24;1;70;555;251620.69
RECEBER;382-1;2021-06-24;1;74;210;94381.5
RECEBER;383-1;2021-06-24;1;74;209;196977.47
RECEBER;381-1;2021-06-25;1;74;207;134794.73
RECEBER;388-1;2021-06-26;1;7;556;423.18
RECEBER;389-1;2021-06-26;1;45;557;2776.27
RECEBER;390-1;2021-06-26;1;45;558;3933.79
RECEBER;391-1;2021-06-26;1;11;559;12484.05
RECEBER;392-1;2021-06-26;1;17;560;7065.37
RECEBER;380-1;2021-06-28;1;9;563;3904.58
RECEBER;393-1;2021-06-28;1;9;561;16022.83
RECEBER;394-1;2021-07-01;1;55;564;109352.64
RECEBER;395-1;2021-07-01;1;55;565;109352.63
RECEBER;396-1;2021-07-02;1;16;566;216.47
RECEBER;397-1;2021-07-05;1;6;567;44128.65
RECEBER;398-1;2021-07-05;1;6;568;6108.3
RECEBER;487-1;2021-07-06;1;50;569;26385.84
RECEBER;404-1;2021-07-07;1;74;217;186443.63
RECEBER;400-1;2021-07-09;1;28;570;89218.07
RECEBER;402-1;2021-07-14;1;73;571;150640.16
RECEBER;401-1;2021-07-15;1;74;223;183494.74
RECEBER;403-1;2021-07-22;1;42;572;30521.15
RECEBER;419-1;2021-07-28;1;74;231;22835.52
RECEBER;421-1;2021-07-28;1;74;234;24910.04
RECEBER;427-1;2021-07-28;1;74;233;11899.66
RECEBER;429-1;2021-07-28;1;74;236;14909.81
RECEBER;442-1;2021-07-28;1;74;232;27553.01
RECEBER;443-1;2021-07-28;1;74;235;16534.58
RECEBER;441-1;2021-07-30;1;74;237;110555.32
RECEBER;451-1;2021-07-30;1;74;238;153939.88
RECEBER;405-1;2021-08-02;1;73;573;80631.35
RECEBER;420-1;2021-08-02;1;74;244;23445.12
RECEBER;422-1;2021-08-02;1;74;241;70803.76
RECEBER;423-1;2021-08-02;1;74;240;21179.43
RECEBER;424-1;2021-08-02;1;74;252;67332.26
RECEBER;425-1;2021-08-02;1;74;247;32300.0
RECEBER;426-1;2021-08-02;1;74;245;25145.35
RECEBER;428-1;2021-08-02;1;74;242;22942.01
RECEBER;430-1;2021-08-02;1;74;251;36374.27
RECEBER;432-1;2021-08-02;1;74;248;36919.6
RECEBER;433-1;2021-08-02;1;74;250;37809.96
RECEBER;434-1;2021-08-02;1;74;249;25689.36
RECEBER;470-1;2021-08-02;1;74;246;25991.79
RECEBER;471-1;2021-08-02;1;74;283;26267.38
RECEBER;406-1;2021-08-04;1;50;574;365690.4
RECEBER;431-1;2021-08-04;1;74;253;21579.32
RECEBER;410-1;2021-08-09;1;49;575;1580.99
RECEBER;435-1;2021-08-11;1;74;257;44619.69
RECEBER;444-1;2021-08-11;1;74;256;21789.34
RECEBER;445-1;2021-08-11;1;74;255;42019.06
RECEBER;411-1;2021-08-12;1;55;577;91167.93
RECEBER;412-1;2021-08-12;1;55;578;91167.93
RECEBER;413-1;2021-08-14;1;46;579;9493.29
RECEBER;414-1;2021-08-14;1;14;580;1748.3
RECEBER;415-1;2021-08-14;1;17;581;23708.42
RECEBER;437-1;2021-08-16;1;74;259;34670.71
RECEBER;438-1;2021-08-16;1;74;260;13711.87
RECEBER;439-1;2021-08-16;1;74;261;19223.82
RECEBER;409-1;2021-08-17;1;74;262;104385.87
RECEBER;416-1;2021-08-17;1;24;582;47433.07
RECEBER;407-1;2021-08-19;1;74;267;117011.98
RECEBER;408-1;2021-08-19;1;74;268;31644.49
RECEBER;417-1;2021-08-24;1;55;583;26414.46
RECEBER;440-1;2021-08-25;1;74;269;15913.39
RECEBER;469-1;2021-08-27;1;79;02;200000.0
RECEBER;446-1;2021-09-02;1;74;281;70548.35
RECEBER;447-1;2021-09-02;1;74;282;20893.79
RECEBER;448-1;2021-09-02;1;74;284;64273.22
RECEBER;449-1;2021-09-02;1;74;285;21936.37
RECEBER;450-1;2021-09-02;1;74;286;14814.52
RECEBER;457-1;2021-09-02;1;78;280;107136.45
RECEBER;472-1;2021-09-02;1;74;290;16624.85
RECEBER;452-1;2021-09-16;1;74;299;7471.06
RECEBER;453-1;2021-09-16;1;74;300;15335.03
RECEBER;454-1;2021-09-16;1;74;301;16540.33
RECEBER;458-1;2021-09-16;1;78;304;153797.86
RECEBER;473-1;2021-09-16;1;74;302;22827.51
RECEBER;474-1;2021-09-16;1;74;303;22880.43
RECEBER;455-1;2021-09-17;1;74;310;8108.88
RECEBER;459-1;2021-09-17;1;55;584;108325.56
RECEBER;484-1;2021-09-17;1;74;311;25283.38
RECEBER;475-1;2021-09-21;1;74;313;84735.01
RECEBER;476-1;2021-09-21;1;74;314;24961.74
RECEBER;477-1;2021-09-23;1;74;316;24658.91
RECEBER;478-1;2021-09-23;1;74;317;44133.87
RECEBER;479-1;2021-09-29;1;74;322;35819.02
RECEBER;480-1;2021-09-29;1;74;324;12493.35
RECEBER;481-1;2021-09-29;1;74;326;19562.0
RECEBER;482-1;2021-09-29;1;74;323;24323.98
RECEBER;483-1;2021-09-29;1;78;321;127470.65
RECEBER;460-1;2021-09-30;1;29;586;78028.93
RECEBER;461-1;2021-10-04;1;55;587;280535.16
RECEBER;462-1;2021-10-04;1;24;588;19520.26
RECEBER;519-1;2021-10-04;1;81;01;17000.0
RECEBER;463-1;2021-10-05;1;50;621;79166.68
RECEBER;464-1;2021-10-05;1;9;590;2278.4
RECEBER;465-1;2021-10-05;1;64;593;6461.27
RECEBER;466-1;2021-10-05;1;38;594;6186.51
RECEBER;467-1;2021-10-06;1;47;595;145930.07
RECEBER;486-1;2021-10-07;1;55;596;246801.54
RECEBER;488-1;2021-10-07;1;55;597;246801.54
RECEBER;489-1;2021-10-18;1;73;598;153988.93
RECEBER;490-1;2021-10-18;1;73;599;33645.48
RECEBER;485-1;2021-10-19;1;78;337;80696.76
RECEBER;539-1;2021-10-28;1;78;345;116787.44
RECEBER;491-1;2021-11-18;1;77;600;250012.56
RECEBER;492-1;2021-11-22;1;24;601;122324.44
RECEBER;543-1;2021-11-22;1;78;363;96631.59
RECEBER;544-1;2021-11-22;1;78;364;48040.53
RECEBER;493-1;2021-11-24;1;73;602;29042.56
RECEBER;494-1;2021-11-24;1;73;603;29630.5
RECEBER;495-1;2021-11-24;1;73;604;23059.86
RECEBER;496-1;2021-11-24;1;80;605;117862.51
RECEBER;540-1;2021-11-24;1;78;369;173078.17
RECEBER;497-1;2021-11-25;1;36;607;6186.51
RECEBER;498-1;2021-11-25;1;16;609;6147.41
RECEBER;499-1;2021-11-25;1;9;610;6071.91
RECEBER;500-1;2021-11-30;1;6;611;10224.49
RECEBER;501-1;2021-11-30;1;36;612;4015.85
RECEBER;502-1;2021-11-30;1;73;613;151748.08
RECEBER;516-1;2021-12-02;1;74;311;82000.0
RECEBER;503-1;2021-12-03;1;73;614;154178.52
RECEBER;504-1;2021-12-08;1;55;615;142211.33
RECEBER;505-1;2021-12-08;1;55;616;142211.33
RECEBER;506-1;2021-12-09;1;81;617;188986.45
RECEBER;507-1;2021-12-09;1;24;618;52175.17
RECEBER;508-1;2021-12-10;1;77;619;69309.32
RECEBER;509-1;2021-12-14;1;55;620;7667.24
RECEBER;510-1;2021-12-15;1;35;622;6069.69
RECEBER;536-1;2021-12-15;1;78;393;114950.45
RECEBER;511-1;2021-12-20;1;70;623;250214.59
RECEBER;512-1;2021-12-21;1;80;624;44288.94
RECEBER;541-1;2021-12-21;1;78;401;190655.45
RECEBER;616-1;2021-12-21;1;82;404;184705.17
RECEBER;619-1;2021-12-21;1;82;403;241355.7
RECEBER;622-1;2021-12-21;1;82;405;186273.21
RECEBER;513-1;2021-12-23;1;77;625;210288.87
RECEBER;514-1;2021-12-23;1;77;626;241624.77
RECEBER;515-1;2021-12-23;1;77;628;83877.53
RECEBER;542-1;2021-12-27;1;78;412;99933.69
RECEBER;545-1;2021-12-27;1;78;411;93741.82
RECEBER;517-1;2021-12-29;1;24;629;115751.52
RECEBER;518-1;2021-12-30;1;81;630;192689.87
RECEBER;617-1;2021-12-30;1;82;427;181793.91
RECEBER;620-1;2021-12-30;1;82;428;207274.1
RECEBER;623-1;2021-12-30;1;82;429;181734.22
RECEBER;547-1;2021-12-31;1;82;439;120000.0
RECEBER;548-1;2021-12-31;1;82;440;180000.0
RECEBER;549-1;2021-12-31;1;82;441;100000.0
RECEBER;586-1;2021-12-31;1;82;439.;110044.49
RECEBER;587-1;2021-12-31;1;82;439..;110747.12
RECEBER;588-1;2021-12-31;1;82;440.;187048.69
RECEBER;589-1;2021-12-31;1;82;441;166400.22
RECEBER;590-1;2021-12-31;1;82;441..;140567.61
RECEBER;618-1;2021-12-31;1;82;441°;158493.41
RECEBER;621-1;2021-12-31;1;82;439;87877.23
RECEBER;624-1;2021-12-31;1;82;440;95264.77
RECEBER;627-1;2021-12-31;1;82;439´;56146.46
